,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,,,,,,,,,,,,,,,,,,,,,
,,,," 555,720.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,125367.93,,, ,,,1125.21, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payroll ,Nov-24,, ,,,,,, ,,,,, ,,,,,,,,,,,,26.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,C,,,,A,,,,1440, ,,,, ,,,,,,,,,B,A-B-C,,,,,   , ,,,,,,,,,,,,,,,,,,,,
Staff No,Name,Pin No,Basic,Bonus/Comm   ,Fringe benefit Loan-non cash,Transport/Hse Allowance,Arrears,Salary Arrears/OT/Others,Gross Salary,Voluntary pension Contribution,Defined Pension contribution,NSSF-T1,NSSF-T2,SHIF,Taxable pay,Gross PAYE,House levy,Advances,HELB,Company loan,Bank loan,SACCO,Personal Relief,NHIF Relief,AHL Relief,Net PAYE,Total Deductions,Net Pay,EMPLOYER PENSION,TOTAL PENSION,Variance,NITA, NP as per payslip ,Variance,,,HOUSE LEVY,GROSS,,,Leave,,,Category,,,Category,Qty, Basic ,,,,,
,,,,,,,,,," 22,028.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1009,A00000000Z9," 366,038.21 ",," 126,393.96 ",,," 53,729.11 "," 546,161.28 ",," 18,301.91 ", 420.00 ," 1,740.00 "," 10,066.05 "," 525,699.37 "," 145,159.89 "," 5,476.15 ",,,,,," (2,400.00)",, (821.42)," 141,938.47 "," 177,942.58 "," 241,824.74 "," 38,343.82 "," 58,385.73 ", 12.26 ,50," 241,812.48 ", 12.26 ," 164,010.06 "," 22,071.59 "," 6,282.09 "," 419,767.32 "," 639,029.30 ","-397,204.56 ",9," 4,778.77 ",,Technical,1," 347,779.77 ",,,,, 821.42 ,,,
10,1010,A00000000Z10," 358,516.36 ",," 126,117.93 ",,," 53,729.11 "," 538,363.40 ",," 17,925.82 ", 420.00 ," 1,740.00 "," 9,859.20 "," 518,277.59 "," 150,750.58 "," 5,373.61 ",," 5,000.00 ",,,," (4,972.50)",, (806.04)," 144,972.04 "," 185,290.66 "," 226,954.81 "," 37,591.64 "," 57,257.45 ", 3.52 ,50," 226,951.29 ", 3.52 ," 140,731.85 ","-4,240.19 "," 6,179.54 "," 412,245.47 "," 674,380.54 ","-447,425.73 ",3," 4,722.49 ",,Technical,1," 340,633.13 ",,,,, 806.04 ,,,
11,1011,A00000000Z11," 315,750.00 ",," 126,867.93 ",,," 53,729.11 "," 496,347.04 ",," 15,787.50 ", 420.00 ," 1,740.00 "," 8,683.13 "," 478,399.54 "," 138,302.66 "," 4,747.50 ",," 5,000.00 ",,,," (2,400.00)",, (712.13)," 135,190.54 "," 171,568.66 "," 197,910.45 "," 33,315.00 "," 50,842.50 ",-9.56 ,50," 197,920.01 ", (9.56)," 131,479.16 ","-3,711.38 "," 5,553.44 "," 369,479.11 "," 594,346.02 ","-396,435.57 ",6," 4,402.50 ",,Technical,1," 300,000.00 ",,,,, 712.13 ,,,
12,1012,A00000000Z12," 250,000.00 ",," 1,500.00 ",,,," 251,500.00 ",," 12,500.00 ", 420.00 ," 1,740.00 "," 6,875.00 "," 236,840.00 "," 65,834.80 "," 1,869.48 ",,,,, -   ," (2,400.00)",, (280.42)," 63,154.38 "," 86,558.86 "," 163,441.14 "," 26,740.00 "," 40,980.00 ",,," 161,842.70 "," 1,598.44 ",,,,,,,,,,,,,,,,, 280.42 ,,,
13,1013,A00000000Z13," 129,133.86 ",," 8,082.24 "," 5,437.22 ",, -   ," 142,653.31 ",," 6,456.69 ", 420.00 ," 1,740.00 "," 3,551.18 "," 134,036.62 "," 34,993.79 "," 2,035.74 "," 5,000.00 ",," 20,833.00 "," 21,200.00 ",," (2,400.00)",, (305.36)," 32,288.42 "," 93,525.04 "," 41,046.03 "," 14,653.39 "," 22,850.08 ",-83.92 ,50," 41,129.95 ", (83.92)," 29,152.89 ","-3,135.54 "," 2,117.30 "," 134,571.07 "," 102,938.74 ","-61,892.71 ",," 22,850.08 ",,Admin,1," 122,692.50 ",,,,, 305.36 ,,,
14,1014,A00000000Z14," 96,284.02 ",," 2,025.71 "," 5,437.22 ",, -   ," 103,746.94 ",," 4,814.20 ", 420.00 ," 1,740.00 "," 2,647.81 "," 96,772.74 "," 23,814.62 "," 1,353.41 ",,,,," 3,600.00 "," (2,400.00)",, (203.01)," 21,211.61 "," 35,787.03 "," 65,934.20 "," 11,368.40 "," 17,922.60 ", 77.22 ,50," 65,856.98 ", 77.22 ," 24,393.34 "," 3,181.73 "," 1,434.97 "," 101,721.23 "," 130,810.94 ","-64,876.74 ",,"-1,921.27 ",,Technical,1," 91,481.25 ",,,,, 203.01 ,,,
15,1015,A00000000Z15," 84,883.99 ",," 1,800.00 "," 5,437.22 ",, -   ," 92,121.20 ",," 4,244.20 ", 420.00 ," 1,740.00 "," 2,334.31 "," 85,717.00 "," 20,497.90 "," 1,269.87 ",,,,,," (2,400.00)",, (190.48)," 17,907.42 "," 27,915.80 "," 62,405.40 "," 10,228.40 "," 16,212.60 ", 2.88 ,50," 62,402.52 ", 2.88 ," 17,169.50 ",-737.92 ," 1,351.43 "," 90,321.20 "," 111,679.05 ","-49,273.65 ",," 1,050.41 ",,Admin,1," 80,649.87 ",,,,, 190.48 ,,,
16,1016,A00000000Z16," 90,642.03 ",," 1,470.60 ",,,," 92,112.63 ",," 4,532.10 ", 420.00 ," 1,740.00 "," 2,492.66 "," 85,420.53 "," 20,408.96 "," 1,354.69 ",,,,,," (2,400.00)",, (203.20)," 17,805.75 "," 28,345.20 "," 62,296.83 "," 10,804.20 "," 17,076.30 ", 4.20 ,50," 62,292.63 ", 4.20 ," 25,698.57 "," 7,892.81 "," 1,354.69 "," 90,642.03 "," 121,229.13 ","-58,932.31 ",," 3,538.82 ",,Technical,1," 86,120.69 ",,,,, 203.20 ,,,
17,1017,A00000000Z17," 57,446.27 ",," 1,499.70 ",,, -   ," 58,945.97 ",," 2,872.31 ", 420.00 ," 1,740.00 "," 1,579.77 "," 53,913.66 "," 10,956.90 ", 862.13 ,,,,,," (2,400.00)",, (129.32)," 8,427.58 "," 15,901.79 "," 41,544.48 "," 7,484.63 "," 12,096.94 ",-0.37 ,50," 41,544.85 ", (0.37)," 14,530.43 "," 6,102.85 ", 862.13 ," 57,446.27 "," 78,676.99 ","-37,132.51 ",,"-2,261.16 ",,Technical,1," 54,580.78 ",,,,, 129.32 ,,,
18,1018,A00000000Z18," 47,802.18 ",," 2,053.50 ",,,," 49,855.68 ",," 2,390.11 ", 420.00 ," 1,740.00 "," 1,314.56 "," 45,305.57 "," 8,374.47 ", 725.34 ,," 2,000.00 ",,,," (3,915.00)",, (108.80)," 4,350.67 "," 12,940.68 "," 34,861.50 "," 6,520.22 "," 10,650.33 ",-7.06 ,50," 34,868.56 ", (7.06)," 4,714.96 ", 364.29 , 725.34 ," 47,802.18 "," 65,920.23 ","-31,058.73 ",," 1,023.21 ",,Technical,1," 45,417.75 ",,,,, 108.80 ,,,
