,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,,,,,,,,,,,,,,,,,,,,,
,,,," 555,720.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,125367.93,,, ,,,1125.21, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payroll ,Nov-24,, ,,,,,, ,,,,, ,,,,,,,,,,,,26.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,C,,,,A,,,,1440, ,,,, ,,,,,,,,,B,A-B-C,,,,,   , ,,,,,,,,,,,,,,,,,,,,
Staff No,Name,Pin No,Basic,Bonus/Comm   ,Fringe benefit Loan-non cash,Transport/Hse Allowance,Arrears,Salary Arrears/OT/Others,Gross Salary,Voluntary pension Contribution,Defined Pension contribution,NSSF-T1,NSSF-T2,SHIF,Taxable pay,Gross PAYE,House levy,Advances,HELB,Company loan,Bank loan,SACCO,Personal Relief,NHIF Relief,AHL Relief,Net PAYE,Total Deductions,Net Pay,EMPLOYER PENSION,TOTAL PENSION,Variance,NITA, NP as per payslip ,Variance,,,HOUSE LEVY,GROSS,,,Leave,,,Category,,,Category,Qty, Basic ,,,,,
,,,,,,,,,," 22,028.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1033,A00000000Z33," 60,593.30 ",, 600.00 ," 5,437.22 ",, -   ," 66,630.51 ",," 3,029.66 ", 420.00 ," 1,740.00 "," 1,666.32 "," 61,440.85 "," 13,215.05 ", 908.90 ,,,,,," (2,400.00)",, (136.33)," 10,678.72 "," 18,443.60 "," 47,586.91 "," 7,799.33 "," 12,568.99 ", -   ,50," 47,586.91 ", -   ," 11,487.71 ", 808.99 , 990.46 ," 66,030.51 "," 80,241.33 ","-32,654.42 ",," 12,568.99 ",,Supervisor,1," 52,575.53 ",,,,, 136.33 ,,,
34,1034,A00000000Z34," 45,513.54 ",, 600.00 ," 5,437.22 ",," 1,163.70 "," 52,714.46 ",," 2,275.68 ", 420.00 ," 1,740.00 "," 1,251.62 "," 48,278.78 "," 9,266.43 ", 682.70 ," 26,000.00 ",,,," 2,000.00 "," (2,400.00)",, (102.41)," 6,764.03 "," 41,134.03 "," 10,980.43 "," 6,291.35 "," 10,307.03 ", 0.00 ,50," 10,980.43 ", 0.00 ," 11,374.75 "," 4,610.72 ", 781.72 ," 52,114.46 "," 89,733.13 ","-78,752.70 ",," 10,307.03 ",,MO,1," 43,243.27 ",,,,, 102.41 ,,,
35,1035,A00000000Z35," 38,081.27 ",, 600.00 ," 5,437.22 ",, -   ," 44,118.48 ",," 1,904.06 ", 420.00 ," 1,740.00 "," 1,047.23 "," 40,054.42 "," 6,799.13 ", 571.22 ," 20,000.00 ",,,," 4,200.00 "," (2,400.00)",, (85.68)," 4,313.44 "," 34,195.96 "," 9,322.52 "," 5,548.13 "," 9,192.19 ", -   ,50," 9,322.52 ", -   ," 3,834.20 ",-479.24 , 652.78 ," 43,518.48 "," 54,064.35 ","-44,741.82 ",,"-11,024.78 ",,Warehouse,1," 34,857.00 ",,,,, 85.68 ,,,
36,1036,A00000000Z36," 41,047.50 ",, 600.00 ," 5,437.22 ",, -   ," 47,084.72 ",," 2,052.38 ", 420.00 ," 1,740.00 "," 1,128.81 "," 42,872.34 "," 7,644.50 ", 615.71 ," 10,000.00 ",,,,," (2,400.00)",, (92.36)," 5,152.15 "," 21,109.04 "," 25,375.68 "," 5,844.75 "," 9,637.13 ", -   ,50," 25,375.68 ", -   ," 8,400.81 "," 3,248.66 ", 697.27 ," 46,484.72 "," 76,858.65 ","-51,482.97 ",, 721.93 ,,Warehouse,1," 39,000.00 ",,,,, 92.36 ,,,
37,1037,A00000000Z37," 44,492.50 ",," 2,100.00 "," 5,437.22 ",, -   ," 52,029.72 ",," 2,224.63 ", 420.00 ," 1,740.00 "," 1,223.54 "," 47,645.09 "," 9,076.33 ", 667.39 ," 15,000.00 ",,,," 6,000.00 "," (2,774.25)",, (100.11)," 6,201.97 "," 33,477.53 "," 16,452.19 "," 6,189.25 "," 10,153.88 ", -   ,50," 16,452.19 ", -   ," 5,325.65 ",-876.32 , 748.95 ," 49,929.72 "," 50,008.21 ","-33,556.02 ",, 827.55 ,,Supervisor,1," 37,000.00 ",,,,, 100.11 ,,,
38,1038,A00000000Z38," 35,919.84 ",, 600.00 ," 5,437.22 ",, -   ," 41,957.06 ",," 1,795.99 ", 420.00 ," 1,740.00 ", 987.80 ," 38,001.07 "," 6,183.12 ", 538.80 ," 10,000.00 ",,,,," (2,400.00)",, (80.82)," 3,702.30 "," 19,184.89 "," 22,172.17 "," 5,331.98 "," 8,867.98 ", -   ,50," 22,172.17 ", -   ," 6,278.36 "," 2,576.06 ", 620.36 ," 41,357.06 "," 52,780.53 ","-30,608.35 ",, 941.49 ,,Warehouse,1," 32,287.50 ",,,,, 80.82 ,,,
39,1039,A00000000Z39," 38,942.50 ",, 600.00 ," 5,437.22 ",," 2,987.07 "," 47,966.78 ",," 1,947.13 ", 420.00 ," 1,740.00 "," 1,070.92 "," 43,859.66 "," 7,940.70 ", 584.14 ," 20,000.00 ",,," 5,833.00 "," 4,100.00 "," (2,400.00)",, (87.62)," 5,453.08 "," 41,148.26 "," 6,218.52 "," 5,634.25 "," 9,321.38 ", 0.00 ,50," 6,218.52 ", 0.00 ," 11,639.47 "," 6,186.39 ", 710.50 ," 47,366.78 "," 72,839.57 ","-66,621.05 ",," 2,652.83 ",,MO,1," 37,000.00 ",,,,, 87.62 ,,,
40,1040,A00000000Z40," 46,310.00 ",, 600.00 ," 5,437.22 ",, -   ," 52,347.22 ",," 2,315.50 ", 420.00 ," 1,740.00 "," 1,273.53 "," 47,871.72 "," 9,144.31 ", 694.65 ," 10,000.00 ",,,,," (2,400.00)",, (104.20)," 6,640.12 "," 23,083.79 "," 28,663.42 "," 6,371.00 "," 10,426.50 ", -   ,50," 28,663.42 ", -   ," 6,541.00 ",-99.12 , 776.21 ," 51,747.22 "," 79,539.90 ","-50,876.48 ",," 3,136.50 ",,MO,1," 44,000.00 ",,,,, 104.20 ,,,
41,1041,A00000000Z41," 46,310.00 ",, 600.00 ," 5,437.22 ",, -   ," 52,347.22 ",," 2,315.50 ", 420.00 ," 1,740.00 "," 1,273.53 "," 47,871.72 "," 9,144.31 ", 694.65 ," 10,000.00 ",,,," 2,000.00 "," (2,400.00)",, (104.20)," 6,640.12 "," 25,083.79 "," 26,663.42 "," 6,371.00 "," 10,426.50 ", -   ,50," 26,663.42 ", -   ," 9,189.10 "," 2,548.98 ", 776.21 ," 51,747.22 "," 90,302.40 ","-63,638.98 ",," 3,436.50 ",,MO,1," 44,000.00 ",,,,, 104.20 ,,,
42,1042,A00000000Z42," 37,890.00 ",, 600.00 ," 5,437.22 ",, 968.78 ," 44,895.99 ",," 1,894.50 ", 420.00 ," 1,740.00 "," 1,041.98 "," 40,841.49 "," 7,035.25 ", 568.35 ," 23,000.00 ",,,,," (2,400.00)",, (85.25)," 4,550.00 "," 33,214.82 "," 11,081.17 "," 5,529.00 "," 9,163.50 ", -   ,50," 11,081.17 ", -   ," 4,809.62 ", 259.62 , 664.44 ," 44,295.99 "," 58,967.40 ","-47,886.23 ",," 2,880.38 ",,Warehouse,1," 36,000.00 ",,,,, 85.25 ,,,
43,1043,A00000000Z43," 55,000.00 ", -   , 600.00 ," 5,437.22 ",, -   ," 61,037.22 ",, -   , 420.00 ," 1,740.00 "," 1,512.50 "," 58,877.22 "," 12,445.96 ", 825.00 ,,,,,," (2,400.00)",, (123.75)," 9,922.21 "," 14,419.71 "," 46,017.50 ",,, -   ,50," 46,017.50 ", -   ,,"-254,423.02 ", 915.56 ," 60,437.22 "," 31,561.20 "," 14,456.30 ",,"-6,990.00 ",,MO,1," 37,500.00 ",,,,, 123.75 ,,,
44,1044,A00000000Z44," 45,000.00 ", -   , 600.00 ," 5,437.22 ",," 2,301.14 "," 53,338.35 ",, -   , 420.00 ," 1,740.00 "," 1,237.50 "," 51,178.35 "," 10,136.31 ", 675.00 ," 25,000.00 "," 1,000.00 ",,,," (2,400.00)",, (101.25)," 7,635.06 "," 37,707.56 "," 15,030.80 ",,, -   ,50," 15,030.80 ", -   ,,,,,,,,"-8,040.00 ",,,,,,,,, 101.25 ,,,
45,1045,A00000000Z45," 24,000.00 ", -   , 600.00 ,,," 1,227.27 "," 25,827.27 ",, -   , 420.00 ," 1,093.64 ", 660.00 ," 24,313.64 "," 2,478.16 ", 360.00 ," 11,000.00 ",,,,," (2,400.00)",, (54.00), 24.16 ," 13,557.80 "," 11,669.48 ",,, -   ,50," 11,669.48 ", -   ,,,," 25,227.27 ",,,,,,,,,,,,, 54.00 ,,,
46,1046,A00000000Z46," 24,000.00 ", -   , 600.00 ,,," 3,272.73 "," 27,872.73 ",, -   , 420.00 ," 1,216.36 ", 660.00 ," 26,236.36 "," 2,958.84 ", 360.00 ," 3,000.00 ",,,,," (2,400.00)",, (54.00), 504.84 ," 6,161.20 "," 21,111.52 ",,, -   ,50," 21,111.52 ", -   ,,,," 27,272.73 ",,,,,,,,,,,,, 54.00 ,,,
47,1047,A00000000Z47," 24,000.00 ", -   , 600.00 ,,," 2,454.55 "," 27,054.55 ",, -   , 420.00 ," 1,167.27 ", 660.00 ," 25,467.27 "," 2,766.57 ", 360.00 ," 8,000.00 ",,,,," (2,400.00)",, (54.00), 312.57 ," 10,919.84 "," 15,534.70 ",,, -   ,50," 15,534.70 ", -   ,,,," 26,454.55 ",,,,,,,,,,,,, 54.00 ,,,
48,1048,A00000000Z48," 24,000.00 ", -   , 600.00 ,,," 1,636.36 "," 26,236.36 ",, -   , 420.00 ," 1,118.18 ", 660.00 ," 24,698.18 "," 2,574.30 ", 360.00 ,,,,,," (2,400.00)",, (54.00), 120.30 ," 2,678.48 "," 22,957.89 ",,, -   ,50," 22,957.89 ", -   ,,,," 25,636.36 ",,,,,,,,,,,,, 54.00 ,,,
49,1049,A00000000Z49," 24,000.00 ", -   , 600.00 ,,, 613.64 ," 25,213.64 ",, -   , 420.00 ," 1,056.82 ", 660.00 ," 23,736.82 ",, 360.00 ," 8,500.00 ",,,,,,,,," 10,996.82 "," 13,616.82 ",,, -   ,50," 13,616.82 ", -   ,,,," 24,613.64 ",,,,,,,,,,,,, -   ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,,,
,Totals,," 6,061,440.60 ", -   ," 735,284.26 "," 97,869.87 ", -   ," 299,309.78 "," 7,193,904.51 "," 20,548.04 "," 251,471.56 "," 19,320.00 "," 76,992.27 "," 166,689.62 "," 6,846,120.68 "," 1,813,655.49 "," 90,921.61 "," 282,853.00 "," 23,500.00 "," 62,499.00 "," 76,050.00 "," 36,900.00 "," (116,810.03)", -   ," (11,693.38)"," 1,685,152.08 "," 2,792,897.18 "," 3,665,723.07 "," 585,199.19 "," 907,378.79 ","-1,598.44 "," 2,400.00 "," 3,665,723.07 ", 0.00 ,,,#REF!,,,,,,,,," 5,323,963.20 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,," 25,227.27 "," 6,458,620.25 "," 20,548.04 "," 754,414.67 "," 38,640.00 "," 153,984.55 "," 166,689.62 "," 6,846,120.68 "," 1,813,655.49 "," 90,921.61 "," 282,853.00 "," 23,500.00 "," 62,499.00 "," 76,050.00 "," 36,900.00 "," (116,810.03)", -   ,," 1,685,152.09 "," 3,403,845.95 "," 3,665,723.07 "," 59,160.00 "," 295,520.02 ",,,,,,,,,,,,,,,,,,,,,,,,
,,,   ,,,,, CHK ,,," 185,424.06 ",,,,,,,,,,,,,,, 0.00 ," 8,143,708.29 ", -   ," 526,039.19 ",,,,,,,,,,,,,,,,,,,,,,,,,
,1,Production-512,1,,1,,,," 735,284.26 ",,"-6,751.96 ", 720.00 ,,,,,,,,,,,,,,,,," 591,193.65 ",,,,,,,,,,,,,,,,,,,,,,,,,
,2,Finance,4, 2.00 , 2.00 ,,, ,,,"-20,255.88 ",,,,,,,,,,,,,,,,,,526039.1918, -   ,,,,,,,,,,,,,,,,,,,,,,,,
,3,General Manager,1,,1,,,,,,,," 385,249.09 "," 166,689.62 "," 6,846,120.68 "," 1,813,655.49 "," 90,921.61 "," 282,853.00 "," 23,500.00 "," 62,499.00 "," 76,050.00 "," 36,900.00 "," (116,810.03)", -   ,," 1,685,152.08 "," 2,792,897.18 "," 3,665,723.07 ",,,,," 3,665,723.07 ", 0.00 ,,,,,,,,,,,,,,,,,,,,
,4,TC,9, 2.00 ,6,,,, ,," 252,219.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,TA,12,6,9,,,,,,," 38,640.00 "," 11,520.00 ",,,," 181,843.22 ",95000,,,,,,,," 1,710,938.37 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Production-511,19,1,18,,,,,,Casuals," 1,800.00 "," 6,690.00 ",,,,,   ,,, MWANANCHI , CA , TOTAL ,,,"-25,786.29 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46, 11.00 , 37.00 ,,,, ,,," 40,440.00 ",,,,AX,," 2,653,029.20 ",JKK,," 34,334.00 "," 20,833.00 "," 55,167.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,," 80,880.00 "," 18,210.00 "," 99,090.00 ",,,," 2,589,676.20 ",MO,, -   ," 20,833.00 "," 20,833.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,18210, -   ,,,,,DMM,," 14,683.00 ",," 14,683.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Part time,,,,,,Reconciliation,,,,," 2,187.27 ",,,,,,VO,, -   ,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Summary ," 6,458,620.25 ",Temp- 41500,,," 2,432.73 ",,,,,,AS,, -   ,, -   ,,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,, Diff ," 27,353.83 ",OT -GL 41080,," 27,353.83 "," 2,334.55 ",,,,,,AM,," 5,833.00 ",," 5,833.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, Accrual ,,Bonus/Comm,, -   ," 2,236.36 ",,,,,,CMB,," 21,200.00 "," 20,833.00 "," 42,033.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL,46,,,,, TOTAL ," 6,431,266.42 ",,," 27,353.83 "," 2,113.64 ",,,,,,,," 76,050.00 "," 62,499.00 "," 138,549.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,36,78%,,,,AX,"6,431,266.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Female,10,22%,,,,Var, 0.00 ," 63,353.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46,100%,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, Bonus ,, Salary ,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,
," 30,313.94 ",Finance," 1,397,855.30 ", -   ," 1,397,855.30 ", -   ,," 1,397,855.30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Technical," 2,225,722.79 "," 68,353.00 "," 2,157,369.79 ", -   ,," 2,157,369.79 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OT, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AOT," 370,229.11 ", -   ," 370,229.11 ", -   ,," 370,229.11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,General Manager," 497,422.35 ", -   ," 497,422.35 ", -   ,," 497,422.35 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Production," 949,037.01 "," 214,500.00 "," 734,537.01 ", -   ,," 707,183.18 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OT," 27,353.83 ",," 27,353.83 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Production-OH," 398,051.75 ",," 398,051.75 ", -   ,," 398,051.75 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TA'S," 620,301.93 ", -   ," 620,301.93 ", -   ,," 620,301.93 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OT, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,," 6,485,974.08 "," 282,853.00 "," 6,203,121.07 ", -   ,," 6,148,413.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," 6,148,413.42 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,,DR,CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,," 1,397,855.30 ",,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,," 248,711.18 ",," 1,646,566.48 ",121,,, 50% GM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,," 2,157,369.79 ",," 2,157,369.79 ",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,41000,," 370,229.11 ",," 370,229.11 ",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,," 707,183.18 ",," 707,183.18 ",511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,," 398,051.75 ",,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,," 248,711.18 ",," 646,762.93 ",512,," 6,148,413.42 ", 50% GM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41000,," 620,301.93 ",," 620,301.93 ",206,,,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,41770,," 4,320.00 "," 2,160.00 "," 2,160.00 ",512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,41770,," 37,992.27 "," 18,996.14 "," 18,996.14 ",511,,,ps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11740, Casuals=0 ,0,41770,, -   , -   , -   ,511,,,Casual,Statutory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,," 11,740.00 ",,4,41770,," 8,640.00 "," 4,320.00 "," 4,320.00 ",121,,,PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, -   ,8,41770,," 17,280.00 "," 8,640.00 "," 8,640.00 ",204,,,PS/TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," 192,624.55 ",1,41770,," 2,160.00 "," 1,080.00 "," 1,080.00 ",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,12,41770,," 25,920.00 ",,,206,,,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EE-5%,ER-10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,4,,41800,," 138,698.09 "," 69,349.04 "," 138,698.09 ",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,,41800,," 22,019.14 "," 11,009.57 "," 22,019.14 ",121,,,,," 160,717.23 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,7,,41800,," 164,717.38 "," 89,858.69 "," 179,717.38 ",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,41800,," 31,575.00 "," 15,787.50 "," 31,575.00 ",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,12,,41800,," 63,099.94 "," 31,549.97 "," 63,099.94 ",511,,,,Pension fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,41800,," 39,805.18 "," 19,902.59 "," 39,805.18 ",512,,,," 175,346.40 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5,,41800,," 22,019.14 "," 11,009.57 "," 22,019.14 ",512,,,," 270,519.60 "," 61,824.32 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8,,41800,," 44,105.32 "," 22,052.66 "," 44,105.32 ",206,,,," 541,039.19 "," 285,519.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,34,8,STUDY-41500,, 400.00 ," 396,637.75 ",,204,,,,"-95,820.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,STUDY-41500,, 50.00 ," 39,663.77 ",,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,STUDY-41500,, 200.00 ,,,121,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Casuals=0 ,19,STUDY-41500,, 950.00 ,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,STUDY-41500,, 100.00 ,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,12,STUDY-41500,, 600.00 ,,,206,,,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41100,," 27,353.83 ",,,511,,,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41100,, -   ,,,206,,,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,45229,,,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Redbad Verduijn,,,,,41100,, -   ,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ivy Atieno,,,,,41100,,,,,511,,,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Keziah Kiarie,,,,,41051,, -   ,,,121,,,BNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41051,, -   ,,,121,,, 50% GM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41051/41090,, -   ,,,204,,,BNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41051,, -   ,,,206,,,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41051,, -   ,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41051,, -   ,,,511,,,BNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41051,, -   ,,,512,,,BNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,41051,, -   ,,,512,,, 50% GM ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Housing levy,2,41770,," 12,576.52 ",,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,41770,," 12,764.99 ",,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Casuals=0 ,0,41770,, -   ,,,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,41770,," 20,804.71 ",,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," 90,921.61 ",8,41770,," 30,700.86 ",,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,41770,," 4,747.50 ",,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46,12,41770,," 9,327.03 ",,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,42230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,7520,,,,,,Accrue,Paid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,," 3,665,723.07 ", NET SALARY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,," 74,304.55 ",NSSF,,," 74,304.55 ",50610," 23,694.55 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,," 9,000.00 ",PRS 90000/11067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,," 23,500.00 ",HELB,, HELB ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,," 76,050.00 ",LOANS,,LOANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,," 36,900.00 ",SACCO,,SACCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,," 907,378.79 ",PENSION CO,,PENSION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,11500,,,,,,TIER 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18150,,," 166,689.62 ", SHIF ,,," 166,689.62 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
